Airports with ACARS Soundings. Downloaded from: https://rucsoundings.noaa.gov/airports.html

GSD_ID name wmoid  lat     lon   elev(m) Description
1210 FADN  68588  -29.97   30.95    8 Durban/Lewis, SA
2557 FAEL  68858  -33.03   27.83  125 East London, SA
1420 FAGG  68828  -34.01   22.38  198 George, So. Africa
0201  FAI  70261   64.82 -147.87  138 Fairbanks Intl, AK
0997 FAJS      0  -26.10   28.30 1720 Johannesburg
1421 FAPE  68842  -33.98   25.62   69 Port Elizabeth, So. Africa
0053  FAR  72753   46.90  -96.80  274 Fargo/Hector, ND
0054  FAT  72389   36.77 -119.72  100 Fresno, CA
1220 FAWW  68110  -22.57   17.10 1725 Windhoek, NM
2686  FAY      0   34.98  -78.88   58 Fayetteville, NC
2082  FCA  72779   48.30 -114.27  906 Kalispell/Glacier, MT
2580 FEFF  64650    4.40   18.52  366 Bangui, CAR
1521  FFF  78925   14.59  -61.00    5 Le Lamentin/Fort De France, Martinique
2577 FGSL  64810    3.75    8.71   56 Malabo, Eq. Guinea
1221 FIMP  61990  -20.43   57.68   57 Plaisance, Mauritius
0516  FKB      0   42.50    9.50    8 Bastia (Corsica)
0669  FKC      0   42.60    8.80   64 Calvi
1251  FKJ      0   41.90    8.80    5 Ajaccio
2579 FKKD  64910    4.00    9.73    9 Douala, Cameroon
2578 FKYS  64950    3.81   11.50  751 Yaounde, Cameroon
0246  FLL      0   26.07  -80.15    3 Ft. Ldrdale/Hlywd, FL
2609 FLLI  67743  -17.82   25.82 1006 Livingstone, Zambia
2582 FLLS  67665  -15.33   28.45 1152 Lusaka, Zambia
2583 FMMA  67083  -19.03   47.17 1450 Antananarivo, Madagascar
1737  FMN      0   43.60    7.20    3 Nice
0998 FNLU      0   -8.40   12.80   70 Luanda
2211  FNT      0   42.97  -83.74  238 Bishop International
2210  FOD      0   42.55  -94.19  352 Fort Dodge Regional
0373  FPG      0   49.01    2.55  117 Paris Charles De Gaulle
0999 FQMA      0  -25.90   32.60   43 Maputo
2927  FSC   7780   41.51    9.10   27 Figari, FR
0055  FSD  72651   43.57  -96.73  435 Sioux Falls/Foss, SD
1000 FSIA      0   -4.70   55.50    3 Seychelles
2208  FSM      0   35.34  -94.37  142 Fort Smith Regional
2581 FTTJ  64700   12.13   15.03  295 Ndjamena, Chad
1001 FVHA      0  -17.90   31.10 1480 Harare
0056  FWA  72533   41.00  -85.20  252 Fort Wayne, IN
2610 FWCL  67693  -15.68   34.97  779 Blantyre/Chileka, Malawi
1241 FWKI      0  -13.79   33.78 1229 Lilongwe Intl, Malawi
2608 FZAA  64210   -4.39   15.44  313 N'Djili, D.R. Congo
1002 GCFV      0   28.50  -13.80   21 Fuerteventura
1003 GCLA      0   28.60  -17.70   31 Santa Cruz de la Palma
1004 GCLP      0   27.90  -15.50   57 Las Palmas
1005 GCRR      0   28.90  -13.60   39 Arrecife
1006 GCTS      0   28.00  -16.50   64 Tenerife
0057  GDL  76613   20.52 -103.32 1526 Guadalajara/Hidalgo, Mexico
0058  GEG  72785   47.63 -117.53  720 Spokane, WA
2206  GFK      0   47.95  -97.18  257 Grand Forks Intl
2448  GGG  59287   23.39  113.30   15 Baiyun/Guangzhou, CI
0331  GGT  78641   14.58  -90.52 1489 Guatemala City, Guatemala
0327  GIG  83743  -22.92  -43.17    5 Rio De Janeiro-Intl, Brazil
2026  GIR      0   35.30   25.10   35 Iraklion
0474  GKL  57957   25.23  110.04  174 Liangjiang/Guilin, CI
0524  GKR      0   39.30   19.50   46 Corfu
2205  GLH      0   33.48  -90.99   39 Mid Delta Rgnl
1007 GMAD      0   30.40   -9.50   76 Agadir
1008 GMMN      0   33.60   -7.60   61 Casablanca
1387 GMMX  60230   31.61   -8.03  468 Marrakech/Menara, Morocco
0308  GNX  90032   52.83   -1.32   94 Derby, East Midlands, UK
1419  GOJ  27459   56.27   44.00  157 Niznij Novgorod, Russia
0059  GON  90036   41.33  -72.05    6 Groton/Trumbull, CT
2558 GOOY  61641   14.74  -17.49   26 Dakar, Senegal
2204  GPT      0   30.41  -89.07    8 Gulfport-Biloxi Intl
2203  GPZ      0   47.21  -93.51  413 Grand Rapids/Newstrom Fld
0343  GRB  72645   44.48  -88.13  214 Green Bay/Strbl, WI
0209  GRR  72635   42.88  -85.52  245 Grand Rapids, MI
0060  GRU  90006  -23.53  -46.63  792 Sao Paulo/Guarulhos, BZ
0061  GSO  72317   36.08  -79.95  275 Greensboro, NC
0653  GSP  72312   34.90  -82.22  296 Grnvile-Sprtnbrg, SC
0318  GTF  72775   47.48 -111.35 1118 Great Falls, MT
0557  GTJ      0   23.70   90.40    9 Dhaka
0062  GUA  78641   14.50  -90.55 1489 Guatemala, GUA (Unofcl)
2573 GUCY  61832    9.57  -13.62   26 Conakry, Guinea
1316  GUM  91217   13.48  144.80   91 Guam Intl, Guam
2936  GWT      0   54.91    8.34   16 Sylt, DE
1374 HAAB  63450    8.98   38.80 2323 Addis Ababa/Bole, Ethiopia
1229  HBP      0   47.40   19.20  150 Budapest
0063  HDN  90008   40.50 -107.25 2012 Hayden, CO
1009 HEBA      0   31.20   30.00   54 Alexandria
1010 HECA      0   30.10   31.40  116 Cairo
1383 HEGN  62463   27.18   33.80   16 Hurghanda, Egypt
1386 HELX  62405   25.67   32.71   90 Luxor, Egypt
0064  HFD  90035   41.73  -72.65    6 Hartfrd/Brainard, CT
1377 HHAS  63021   15.29   38.91 2335 Asmara, Eritrea
0321  HHH      0   32.22  -80.70 9999 Hilton Head Island, S.C.
2199  HIB      0   47.39  -92.84  412 Chisholm-hibbing
0238  HKG  45007   22.33  114.18   24 Hong Kong Intl, HK
1011 HKNA      0   -1.30   36.80 1624 Nairobi
0576  HKO      0   19.73 -156.05   13 Keahole Kona Intl, HI
